name,taxId,email,accountTypes,phone,address,businessName,representative,documentType,alternatePhone,country,accountCode,notes
INVERSIONES Y NEGOCIOS (INESA),MCX-38,arodriguez@inesa.com.do,INDIVIDUAL;CONSIGNEE,(809) 563-8522,"17 Calle Haim Lopez Penha, Santo Domingo",,,RNC,,DO,MCX-38,
DAFRE LOGISTICS SRL,MCX-39,americanboxesnaco@gmail.com,INDIVIDUAL;CONSIGNEE,8296412551,DISTRITO NACIONAL,,,RNC,,DO,MCX-39,
FIRMENICH INC,MCX-40,mcx-40@mcxpending.com,INDIVIDUAL;CONSIGNEE,,"250 Plainsboro Road, Plainsboro Township",,,,,,MCX-40,
MCX Logistics Group,MCX-41,info@medinacargoxpress.com,INDIVIDUAL;CONSIGNEE,,"2016 Northwest 135th Avenue, Miami",,,,,,MCX-41,
ARTES MERET SRL,MCX-42,artes_meret2024@hotmail.com,INDIVIDUAL;CONSIGNEE,(829) 714-8953,"Avenida Charles de Gaulle, Santo Domingo Este",,,RNC,,DO,MCX-42,
BLUE ANCHOR LINE,MCX-43,mcx-43@mcxpending.com,CARRIER;COMPANY,,"Av. Lope de Vega 29, Santo Domingo, SANTO DOMINGO",,,RNC,,DO,MCX-43,
JIANGSU WLD MEDICAL CO. LTD,MCX-44,mcx-44@mcxpending.com,SHIPPER,,"NO. 138, XISHAN SOUTH ROAD, CHENJI TOWN, YIZHENG CITY, JIANGSU PROVINCE, CHINA",,,,,,MCX-44,
GRUNENTHAL S A,MCX-45,mcx-45@mcxpending.com,CARRIER;COMPANY,,"J. CAIN PANAMA PACIFICO,S.A",,,,,,MCX-45,
"KUEHNE NAGEL,S.A.",MCX-46,mcx-46@mcxpending.com,CARRIER;COMPANY,,,,,,,,MCX-46,
PFIZER FREE ZONE PANAMA,MCX-47,mcx-47@mcxpending.com,CARRIER;COMPANY,,"Calle Elvira M?ndez, Panam?",,,,,,MCX-47,
"CHINA LOGISTICS SERVICES CLS S.R.L,",MCX-48,Info@chinalogisticsdr.com,INDIVIDUAL;CONSIGNEE,809-549-8800,"78 Avenida de la Vega Real, Santo Domingo",,,RNC,,DO,MCX-48,
"MEDINA CARGO XPRESS,",130966354,INFO@MEDINACARGOXPRESS.COM,INDIVIDUAL;CONSIGNEE,809-549-8800,"LAS AMERICA KM 25 #30, LAS AMERICAS",,,RNC,,DO,MCX-49,
R2 LOGISTICA Y ACESORIA,132613198,Rsvm29@gmail.com,INDIVIDUAL;CONSIGNEE,Tel .: 809-869-9534,"102 Avenida H?pica, Santo Domingo Este",,,RNC,,DO,MCX-50,
Paola  Mateo / KIDS STUFF,MCX-51,Kidsstuffrd@hotmail.com,INDIVIDUAL;CONSIGNEE,829-856-5644,"Residencial los laureles bloque L 101 Carretera la Isabella Arroyo Hondo, DISTRITO NACIONAL",,,RNC,,DO,MCX-51,
VARMECAS SRL,131926819,mcx-52@mcxpending.com,CONSIGNEE,(809) 896-6238,"Francisco Jos? Peynado 76, Bonao 42000",,,,,,MCX-52,
BABY CHANCE SRL,132763442,mcx-53@mcxpending.com,CONSIGNEE,(809)?895-1352,"Av. Sabana Larga esq, Santo Domingo Este 11501",,,,,,MCX-53,
"Woosung Autocon Co., Ltd",MCX-54,mcx-54@mcxpending.com,INDIVIDUAL;CONSIGNEE,,"11, MTV buk-ro 193beon-gil, Jeongwang-Dong, Siheung-si",,,,,,MCX-54,
CHINA BOX PTY,MCX-55,mcx-55@mcxpending.com,COMPANY,,"Avenida de la Paz, Panam?",,,,,,MCX-55,
LOS MISMOS,MCX-56,mcx-56@mcxpending.com,INDIVIDUAL;CONSIGNEE,,,,,,,,MCX-56,
Cartones del Caribe SAS,101164816,comprasint@cartonesdelcaribe.com,INDIVIDUAL;CONSIGNEE,809-549-0601,"22 Autopista Las Am?ricas, Santo Domingo Este",,,RNC,,DO,MCX-57,
EMPAQUES COLON S.A.,MCX-58,comprasecsa@ecsabox.com,SHIPPER,507 204 3550,R?o Duque,,,,,,MCX-58,
UPS,MCX-59,mcx-59@mcxpending.com,CARRIER;COMPANY,,"UPS Dominicana, S.A.
Aeropuerto Internacional Las Am?ricas (AILA)
Santo Domingo, Rep?blica Dominicana",,,,,,MCX-59,
PT DOMINICAN SRL,MCX-60,mcx-60@mcxpending.com,CONSIGNEE,,"Mella Km. 1, Hig?ey 23000",,,,,,MCX-60,
ZORRILLASA SRL,130240932,mcx-61@mcxpending.com,INDIVIDUAL;CONSIGNEE,Tel.: 829-883-8042,"6 Gaspar Hernandez, Hig?ey",,,RNC,,DO,MCX-61,
AMERICARGO INC,MCX-62,mcx-62@mcxpending.com,INDIVIDUAL;CONSIGNEE,,38-28 28th Street,,,,,,MCX-62,
GRUPO ESTEVEZ SRL,131485227,grupoestevez@gmail.com,INDIVIDUAL;CONSIGNEE,,"Avenida M?xico, Santo Domingo",,,RNC,,DO,MCX-63,
ZORRILLASA SRL,130240932,mcx-64@mcxpending.com,CONSIGNEE,,"6 Gaspar Hernandez, Hig?ey",,,RNC,,DO,MCX-64,
NEUTRAL LOGISTICS,MCX-65,mcx-65@mcxpending.com,CARRIER;COMPANY,(809) 793-4300,"Av. Abraham Lincoln 1019, Santo Domingo",,,,,,MCX-65,
"HANGZHOU HIKVISION TECHNOLOGY CO.,LTD",MCX-66,mcx-66@mcxpending.com,SHIPPER,,"700 DONGLIU ROAD,BINJIANG
AREA,HANGZHOU,ZHEJIANG,CHINA CITY: HANGZHOU
ZIP CODE: 310052 COUNTRY CODE: CN
AEOCN3301961C17",,,,,,MCX-66,
JM SS,MCX-67,mcx-67@mcxpending.com,CONSIGNEE,,"C/LORENZO DESPRADEL
#7, LOS PRADOS,SANTO DOMINGO,DOMINICAN REP.",,,,,,MCX-67,
DAYDRY YHOENNY VILLAR ROMANO,MCX-68,Daydryvillar@gmail.com,INDIVIDUAL;CONSIGNEE,8098044304,"Calle M?ximo Rossi, Santo Domingo",,,RNC,,DO,MCX-68,
DAYDRY VILLAR,MCX-69,Daydryvillar@gmail.com,INDIVIDUAL;CONSIGNEE,8098044304,,,,,,,MCX-69,
CARLOS ODEMIR TAVARES,MCX-71,mcx-71@mcxpending.com,CONSIGNEE,,"Av. Espana, Santo Domingo Este, Santo Domingo, REPUBLICA DOMINICANA",,,,,,MCX-71,
FREDDY MARCIAL RODRIGUEZ GUEVARA,MCX-72,mcx-72@mcxpending.com,CONSIGNEE,,"Santo Domingo, RD",,,,,,MCX-72,
CARGO ORION DOMINICANA,MCX-73,mcx-73@mcxpending.com,CARRIER;COMPANY,809-533-6141,"C. Victor Garrido Puello, Santo Domingo",,,,,,MCX-73,
"HANGZHOU HIKVISION TECHNOLOGY CO.,LTD.",MCX-74,mcx-74@mcxpending.com,SHIPPER,-87989427,"700 DONGLIU ROAD,BINJIANG
AREA,HANGZHOU,ZHEJIANG,CHINA
CITY: HANGZHOU
ZIP CODE: 310052
COUNTRY CODE: CN
USCI+91330108685810195",,,,,,MCX-74,
"Shenzhen Huasifei Technology Co., Ltd.",MCX-75,mcx-75@mcxpending.com,SHIPPER,,8 Hua Ning Lu,,,,,,MCX-75,
"Shenzhen Huasifei Technology Co., Ltd",MCX-76,mcx-76@mcxpending.com,SHIPPER,,,,,,,,MCX-76,
YIWU DONGCHENG INTERNATIONAL TRADING LTD,MCX-77,mcx-77@mcxpending.com,SHIPPER,,,,,,,,MCX-77,
"JINAN BADA PLASTIC PIPE WELDING EQUIPMENT CO., Ltd,",MCX-78,mcx-78@mcxpending.com,SHIPPER,,"Wu Tai Zha Lu, Ji Ning Shi",,,,,,MCX-78,
"Shijiazhuang Truter Packaging Co., Ltd",MCX-79,mcx-79@mcxpending.com,SHIPPER,,"1606 Xinke International Plaza, Huai'an East Road, Shijiazhuang, Hebei, China",,,,,,MCX-79,
"YIM DURO IMPORT & EXPORT CO, LTD",MCX-80,mcx-80@mcxpending.com,CARRIER;COMPANY,,"ROOM 201,UNIT 1,BUILDING 68 CHENGXIN 3 DISTRICT,FUTIAN,STREET YIWU,CHINA USCI+91330782336907458W ,",,,,,,MCX-80,
Barq Impex USA Inc,MCX-81,cherian@barqimpex.com,INDIVIDUAL;CONSIGNEE,1 617 888 0263,"220 Redmond Ridge Circle, Alpharetta",,,,,,MCX-81,
ZAMIR FELIZ,MCX-82,Zamil_feliz@hotmail.com,INDIVIDUAL;CONSIGNEE,8295780548,,,,,,,MCX-82,
CARTONERA HUED,MCX-83,compras@cartonerahued.com,CONSIGNEE,(809) 560-6861,"Autopista Duarte, Km. 15 ?
Carretera La Isabela #20
Pantoja, Santo Domingo Oeste, Pantoja",,,RNC,,DO,MCX-83,
"Woosung Autocon Co., Ltd.",MCX-84,mcx-84@mcxpending.com,SHIPPER,,,,,,,,MCX-84,
Henr?quez,MCX-85,mcx-85@mcxpending.com,CARRIER;COMPANY,(809) 688-8787,"Av Simon Bolivar #195, Santo Domingo 10108, Santo Domingo,",,,,,,MCX-85,
FERRETERS SRL,MCX-86,mcx-86@mcxpending.com,CONSIGNEE,,"AV. ECOLOGICA, TORRE VERSA 202",,,,,,MCX-86,
"GRUPO PAILL, S.A. DE C.V",MCX-87,mcx-87@mcxpending.com,CARRIER;COMPANY,,"8A AV SUR Y 10A CALLE ORIENTE No 470
SAN SALVADOR SS SV",,,,,,MCX-87,
ALEX MANUEL MANSILLA YABRA,MCX-88,mcx-88@mcxpending.com,SHIPPER,,"BOHECHIO CASA 5C, FERNANDEZ
SANTO DOMINGO (REPUBLICA DOMINICANA) FORWARDING AGENT EXPORT REFERENCE
ID: 00112256516",,,,,,MCX-88,
ELECTRA SOLUTIONS GROUP LLC,MCX-89,mcx-89@mcxpending.com,CONSIGNEE,,"170 COMMERCE WAY, SUITE 200
PORTSMOUTH NH 03801
ID 834062339",,,,,,MCX-89,
KING OCEAN SERVICES LTD,MCX-90,mcx-90@mcxpending.com,CARRIER;COMPANY,,,,,,,,MCX-90,
"Vanderbilt Minerals, LLC",MCX-91,mcx-91@mcxpending.com,INDIVIDUAL;CONSIGNEE,,"396 Pella Way, Murray",,,,,,MCX-91,
IBERCHEM S.A.U.,MCX-92,mcx-92@mcxpending.com,CARRIER;COMPANY,,"Avenida del Descubrimiento, Alcantarilla",,,,,,MCX-92,
FEILO SYLVANIA COSTA RICA S A,MCX-94,mcx-94@mcxpending.com,SHIPPER,,"Zona Industrial, Costa Rica",,,,,,MCX-94,
RH Toronto,MCX-95,jmojsiak@uwo.ca,INDIVIDUAL;CONSIGNEE,(416) 560-0269,"3401 Dufferin Street, Toronto",,,,,,MCX-95,
Franmen Guillermo De Los Santos,TEST01,franmen05@gmail.com,CONSIGNEE,8093051653,"rosa  roja, santo domingo",,,,,,TEST01,
Harry Heinsen & Co. SRL,MCX-96,jterrero@harryheinsen.com,CONSIGNEE,(809) 561-5999,"214 ProlongaciÛn Avenida 27 de Febrero, Santo Domingo",,,RNC,,DO,MCX-96,
"France Field, Zona Libre de Col?n, Panam?",MCX-97,mcx-97@mcxpending.com,INDIVIDUAL;CONSIGNEE,,ColÛn,,,,,,MCX-97,
DM GROUP INTERNATIONAL SRL.-,114080787,mcx-98@mcxpending.com,CONSIGNEE,809-528-5760,"TEL;.809-528-5760
Zonas Francas, Av Libertad 1, Pedernales, Dominican Republic, Pedernales",,,RNC,,DO,MCX-98,
GLOBAL TRADING SERVICE,MCX-99,mcx-99@mcxpending.com,SHIPPER,OFFICE: 305-740-0338,"7165 Southwest 47th Street, Miami",,,,,,MCX-99,
IRON PLANET,MCX-100,mcx-100@mcxpending.com,CARRIER;COMPANY,18007776666,"8006 Lorton Road
Lorton, VA 22079
Estados Unidos",,,,,,MCX-100,
CARIBBEAN EXPRESS LINE,MCX-101,mcx-101@mcxpending.com,SHIPPER,,,,,,,,MCX-101,
DSV AIR,101709189,DO.Impsea.SDQ@do.dsv.com,CARRIER;COMPANY,,"AV. 27 DE FEBRERO
NO. 325 TORRE PROF. KM SUITE 301
EVARISTO MORALES, SANTO DOMINGO",,,,,,MCX-102,
"AVIENT GUATEMALA, S.A.",MCX-103,mcx-103@mcxpending.com,SHIPPER,,"27 AVENIDA 34-11 ZONA 12, 
GLOBAL BODEGA 13 Y 6
GUATEMALA CIUDAD",,,,,,MCX-103,
"DURANZA CO., LIMITED",MCX-104,mcx-104@mcxpending.com,SHIPPER,,,,,,,,MCX-104,
KENIYA,MCX-105,mcx-105@mcxpending.com,SHIPPER,,,,,,,,MCX-105,
M.C. LOGISTICS  SRL,MCX-106,mcx-106@mcxpending.com,CARRIER;COMPANY,,"#5 y #9, Av. Carlos Perez Ricart, Santo Domingo",,,,,,MCX-106,
"Cambo shenzhen Industrial Co., Ltd.",MCX-107,mcx-107@mcxpending.com,SHIPPER,,"D3007 Vanke Tianyu Plaza, No.7188 Longxiang Avenue, Jixiang Community, Shenzhen, Guangdong, China",,,,,,MCX-107,
Yangzhou Hangyu Tourist Products Factory LTD.,MCX-108,mcx-108@mcxpending.com,SHIPPER,.,"Yuanchen Road, Guangling Industrial Park, Yangzhou, Jiangsu, China",,,,,,MCX-108,
"YIWU DURO IMPORT & EXPORT CO.,LTD.",MCX-109,logistica@medinacargoxpress.com,SHIPPER,,"ROOM 201,UNIT 1,BUILDING 68 CHENGXIN 3 DISTRICT,FUTIAN,STREET YIWU,CHINA USCI+91330782336907458W",,,,,,MCX-109,
Royal World Logistics,MCX-110,mcx-110@mcxpending.com,INDIVIDUAL;CONSIGNEE,,"Ave. Santa Isabel Edificio Cofrisa No.4,
France Field, Zona Libre de ColÛn, Panam·",,,,,,MCX-110,
MANGUERAS Y CONESIONES,MCX-111,mcx-111@mcxpending.com,INDIVIDUAL;CONSIGNEE,,,,,,,,MCX-111,
ANBEL(AB IND.SUPPLY CORP),MCX-112,mcx-112@mcxpending.com,INDIVIDUAL;CONSIGNEE,,,,,,,,MCX-112,
RICKY RICARDO GARRIDO,MCX-114,mcx-114@mcxpending.com,INDIVIDUAL;CONSIGNEE,18296488851,"Calle Caballito de Mar, Santo Domingo Este",,,RNC,,DO,MCX-114,
MICHAEL UTENS,MCX-115,mcx-115@mcxpending.com,INDIVIDUAL;CONSIGNEE,8093726124,,,,,,,MCX-115,
NOVOTRANS SRL,MCX-116,mcx-116@mcxpending.com,CARRIER;COMPANY,,"Edificio RC, C. Puerto Rico 99, Santo Domingo Este 10014",,,,,,MCX-116,
HOME CHEN INTERNATIONAL LIMITED,MCX-117,mcx-117@mcxpending.com,SHIPPER,,,,,,,,MCX-117,
IMPORTADORA K4R RACING EIRL,MCX-118,importadorak4rracing@gmail.com,INDIVIDUAL;CONSIGNEE,8293135869,"CARRETERA VERON BAVARO PUNTA CANA ESQUINA SIMON BOLIVAR, Circunvalaci?n de Ver?n - B?varo, Punta Cana",,,RNC,,DO,MCX-118,
COMERCIAL LA CLAVE,MCX-119,mcx-119@mcxpending.com,INDIVIDUAL;CONSIGNEE,8098790755,San Crist?bal,,,RNC,,DO,MCX-119,
CARTONERA ALFREDO HUED SAS,101000813,compras@cartonerahued.com,INDIVIDUAL;CONSIGNEE,809) 560-6861,,,,RNC,,DO,MCX-120,
JUAN MIGUEL ARIAS CURET,MCX-122,mcx-122@mcxpending.com,CONSIGNEE,,,,,,,,MCX-122,
EVERGREEN LINE,MCX-124,mcx-124@mcxpending.com,CARRIER;COMPANY,,,,,,,,MCX-124,
AMAZON ZONA LIBRE,MCX-125,mcx-125@mcxpending.com,INDIVIDUAL;CONSIGNEE,,Col?n,,,,,,MCX-125,
FOAMDADY,MCX-126,mcx-126@mcxpending.com,INDIVIDUAL;CONSIGNEE,,"2140 South 7th Avenue, Phoenix",,,,,,MCX-126,
SUPER TIENDA LA ALEGRIA SRL,130763862,mcx-127@mcxpending.com,CONSIGNEE,,"REPUBLICA DOMINICANA, 
SANTIAGO BELLEN NO.102, SANTIAGO",,,,,,MCX-127,
RADHAMES ALEXANDER PORTES FELIZ,MCX-128,mcx-128@mcxpending.com,INDIVIDUAL;CONSIGNEE,+1 (849) 205-5610,"406 Calle Arzobispo Meri?o, Santo Domingo",,,RNC,,DO,MCX-128,
"SHENZHEN GOLDEN SHIPPING CO.,LTD",MCX-129,Amanda@szgolden-shipping.com,SHIPPER,178 8791 4107,"Unit1308, 13 / F, Zhujiang International Centre,                                                                               9009 Longxiang Avenue, Longgang District, Shenzhen",,,,,,MCX-129,
BENJA AUTO SERVICE,131775527,Benjaautoservice@gmail.com,INDIVIDUAL;CONSIGNEE,1 (829) 294-4660,"KM 31 1/2, AUTOPISTA LAS AMERICAS, BOCA CHICA, REPUBLICA DOMINICANA.",,,,,,MCX-131,
HANGZHOU GINO TECH CO LTD,MCX-132,mcx-132@mcxpending.com,INDIVIDUAL;CONSIGNEE,,"Room 2003, Building 2, Meilai International, Nanyuan Street, Hangzhou, Zhejiang, China",,,,,,MCX-132,
HENRY VARGAS,MCX-133,mcx-133@mcxpending.com,INDIVIDUAL;CONSIGNEE,809-223-5100,Santo Domingo,,,RNC,,DO,MCX-133,
VIMARO SRL,MCX-134,mcx-134@mcxpending.com,INDIVIDUAL;CONSIGNEE,8497519633,"NAVE INDUSTRIAL DE ESTE, ENTRANDO POL EL HOTEL PRIMAVERAL BAVARO, REPUBLICA DOMINICANA.",,,,,,MCX-134,
GLOBAL TRADING  SERVICES INC,MCX-137,mcx-137@mcxpending.com,CARRIER;COMPANY,,"7001 N Waterway Dr # 109, Miami, FL 33155, Estados Unidos",,,,,,MCX-137,
LIFT TAG,MCX-138,mcx-138@mcxpending.com,CARRIER;COMPANY,,"Aeropuerto Jos? Francisco Pe?a Gomez (AILA),
Boca Chica, Rep?blica Dominicana",,,,,,MCX-138,
CARIBBEAN MULTISERVICE GROUP,132680375,caribbeanmultiservicesg@gmail.com,CONSIGNEE;SHIPPER,TELF.:?(849)?258-9761,"AUT. SAN ISIDRO, CORAL MALL, PYHEX WORK III, SEGUNDO NIVEL",,,,,,MCX-139,
DHL,MCX-140,mcx-140@mcxpending.com,CARRIER;COMPANY,,,,,,,,MCX-140,
CARIBETRANS,MCX-141,mcx-141@mcxpending.com,CARRIER;COMPANY,(809) 682-0102,"Direcci?n: Av. Independencia, Santo Domingo",,,,,,MCX-141,
LABORATORIOS ATRAL S A,MCX-142,mcx-142@mcxpending.com,CARRIER;COMPANY,+351 263 856 800,"Direcci?n: R. da Esta??o 1, Castanheira do Ribatejo, Portugal",,,,,,MCX-142,
AEROPRONTO,MCX-143,mcx-143@mcxpending.com,CARRIER;COMPANY,(809) 592-9100,"Direcci?n: Seminario Padres Paules, Antigua Calle 15 3, Santo Domingo Este 11501",,,,,,MCX-143,
MERCHANT DOMINICANA SRL,MCX-144,mcx-144@mcxpending.com,CONSIGNEE,,"AV. INDEPENDENCIA, ESQ WINS, ESTACION CENTRO DE LOS HEROES, SANTO DOMINGO RD, Distrito Nacional",,,RNC,,DO,MCX-144,
FULTER LOGISTICS,MCX-145,mcx-145@mcxpending.com,CARRIER;COMPANY,829-607-2119,"CALLE 1RA, ESQ PEDRO A. BOBEA, LOCAL 1",,,,,,MCX-145,
HANGZHOU HENGUANG IMPORT AND EXPORT LIMITED,MCX-146,mcx-146@mcxpending.com,SHIPPER,,"ROON 414, UNIT 3-3 WANDA COMERCIAL CENTER, GONGSHU DISTRICT HANGZHOU",,,,,,MCX-146,
PAPELERIA KIM SRL,MCX-147,mcx-147@mcxpending.com,CONSIGNEE,,SANTO DOMING RD,,,,,,MCX-147,
MC LOGISTICS,MCX-148,mcx-148@mcxpending.com,CARRIER;COMPANY,(809) 565-3265,"Direcci?n: #5 y #9, Av. Carlos Perez Ricart, Santo Domingo",,,,,,MCX-148,
YOUDO INTERNATIONAL CO LIMITED,MCX-149,mcx-149@mcxpending.com,SHIPPER,,,,,,,,MCX-149,
"DISTRIBUIDORA VASQUEZ A&S SUMINISTRO FERRETEROS Y MATERIALES LIGEROS, SRL",132962992,mcx-150@mcxpending.com,CONSIGNEE,(829)325 6305,DIRRECCION:AV.30 DE MAYO #3 MONTECRISTI CASTA?UELAS,,,,,,MCX-150,
"SH WANWAY DIGITAL TECHNOLOGY CO., LTD",MCX-151,mcx-151@mcxpending.com,SHIPPER,,,,,,,,MCX-151,
RAMIL COMERCIAL SRL,130898383,mcx-152@mcxpending.com,INDIVIDUAL;CONSIGNEE,829-512-7778,"DIRECCI?N : Calle B #5 urbanizaci?n carola , santo domingo este",,,,,,MCX-152,
"APS GOLDEN GROUP CO., LIMITED.",MCX-153,KIMMI_HUANG@APSGOLDENGROUP.COM,SHIPPER,00852-2152-1733,"TAX ID: 66905060-000-11-23-8 SPA CENTRE 53-55 LOCKHART ROAD WANCHAI HONGKONG, CHINA.",,,,,,MCX-153,
YARIS,MCX-154,mcx-154@mcxpending.com,INDIVIDUAL;CONSIGNEE,,,,,,,,MCX-154,
GRUPO ELECTRO WORLD ( MARCOS MENALDO),MCX-155,mcx-155@mcxpending.com,INDIVIDUAL;CONSIGNEE,+1 (829) 763-1834,REPUBLICA DOMINICANA,,,,,,MCX-155,
SWARM TRANSPORT,MCX-158,mpanesso@swarmtransport.com,CONSIGNEE;COMPANY;CARRIER;SHIPPER,1305-735-8893,"11230 Northwest 122nd Street, Medley",,,,,,MCX-158,
ABLEREX LATAM CORP,MCX-159,mcx-159@mcxpending.com,INDIVIDUAL;CONSIGNEE;SHIPPER,,"11230 Northwest 122nd Street, Miami",,,,,,MCX-159,
IT SUPPORT INC,MCX-160,mcx-160@mcxpending.com,INDIVIDUAL;CONSIGNEE,,MIAMI,,,,,,MCX-160,
